db_name,Question,Actual Output,Logical Output,Actual Len,Logical Len
concert_singer,"What are the names , themes , and number of singers for every concert ?",     concert_Name            Theme  count(*)0       Auditions      Free choice         31  Super bootcamp    Free choice 2         22     Home Visits    Bleeding Love         13          Week 1       Wide Awake         14          Week 1    Happy Tonight         25          Week 2  Party All Night         1,    ConcertName<>   ConcertTheme<>  NumSingers<>0       Auditions      Free choice             31     Home Visits    Bleeding Love             12  Super bootcamp    Free choice 2             23          Week 1    Happy Tonight             24          Week 1       Wide Awake             15          Week 2  Party All Night             1,6,6
concert_singer,List singer names and number of concerts for each singer.,           Name  count(*)0     Timbaland         21  Justin Brown         32    Rose White         13  John Nizinik         24   Tribal King         2,   SingerName<>  NumConcertsPerSinger<>0  John Nizinik                       21  Justin Brown                       32    Rose White                       13     Timbaland                       24   Tribal King                       2,5,5
concert_singer,What are the names of the singers and number of concerts for each person?,           Name  count(*)0     Timbaland         21  Justin Brown         32    Rose White         13  John Nizinik         24   Tribal King         2,   SingerName<>  NumConcerts<>0  John Nizinik              21  Justin Brown              32    Rose White              13     Timbaland              24   Tribal King              2,5,5
car_1,How many continents are there?,   count(*)0         5,   NumContinents<>0                3,1,1
car_1,What is the number of continents?,   count(*)0         5,   NumContinents<>0                3,1,1
car_1,"How many countries does each continent have? List the continent id, continent name and the number of countries.",   ContId  Continent  count(*)0       1    america         31       2     europe         62       3       asia         23       4     africa         24       5  australia         2,   ContinentId<> ContinentName<>  NumCountries<>0              1         america               11              2          europe               52              3            asia               1,5,3
car_1,"For each continent, list its id, name, and how many countries it has?",   ContId  Continent  count(*)0       1    america         31       2     europe         62       3       asia         23       4     africa         24       5  australia         2,   ContinentId<> ContinentName<>  NumCountries<>0              1         america               11              2          europe               52              3            asia               1,5,3
car_1,How many countries are listed?,   count(*)0        15,   NumCountries<>0               7,1,1
car_1,How many countries exist?,   count(*)0        15,   NumCountries<>0               7,1,1
car_1,"How many models does each car maker produce? List maker full name, id and the number.",                  FullName  Id  count(*)0   American Motor Company   1         11               Volkswagen   2         22                      BMW   3         13           General Motors   4         54       Ford Motor Company   5         35                 Chrysler   6         46                  Citroen   7         17            Nissan Motors   8         28                     Fiat   9         19                    Honda  11         110                   Mazda  12         111            Daimler Benz  13         212                    Opel  14         113                Peugeaut  15         114                 Renault  16         115                    Saab  17         116                  Subaru  18         117                  Toyota  19         218                 Triumph  20         119                   Volvo  21         120              Kia Motors  22         121                 Hyundai  23         1,           MakerFullName<>  MakerId<>  NumModels<>0   American Motor Company          1            11                      BMW          3            12                 Chrysler          6            33                  Citroen          7            14             Daimler Benz         13            25                     Fiat          9            16       Ford Motor Company          5            37           General Motors          4            58                    Honda         11            19                    Mazda         12            110           Nissan Motors          8            211                    Opel         14            112                Peugeaut         15            113                 Renault         16            114                    Saab         17            115                  Subaru         18            116                  Toyota         19            117                 Triumph         20            118              Volkswagen          2            219                   Volvo         21            1,22,20
car_1,"What is the full name of each car maker, along with its id and how many models it produces?",                  FullName  Id  count(*)0   American Motor Company   1         11               Volkswagen   2         22                      BMW   3         13           General Motors   4         54       Ford Motor Company   5         35                 Chrysler   6         46                  Citroen   7         17            Nissan Motors   8         28                     Fiat   9         19                    Honda  11         110                   Mazda  12         111            Daimler Benz  13         212                    Opel  14         113                Peugeaut  15         114                 Renault  16         115                    Saab  17         116                  Subaru  18         117                  Toyota  19         218                 Triumph  20         119                   Volvo  21         120              Kia Motors  22         121                 Hyundai  23         1,           MakerFullName<>  MakerId<>  NumModels<>0   American Motor Company          1            11                      BMW          3            12                 Chrysler          6            33                  Citroen          7            14             Daimler Benz         13            25                     Fiat          9            16       Ford Motor Company          5            37           General Motors          4            58                    Honda         11            19                    Mazda         12            110           Nissan Motors          8            211                    Opel         14            112                Peugeaut         15            113                 Renault         16            114                    Saab         17            115                  Subaru         18            116                  Toyota         19            117                 Triumph         20            118              Volkswagen          2            219                   Volvo         21            1,22,20
car_1,Find the model of the car whose weight is below the average weight.,           Model0         toyota1       plymouth2            amc3           ford4         datsun5     volkswagen6        peugeot7           audi8           saab9            bmw10           amc11        datsun12     chevrolet13        toyota14          ford15    volkswagen16           amc17           amc18     chevrolet19       mercury20          opel21       peugeot22          fiat23        toyota24        datsun25    volkswagen26      plymouth27        toyota28         dodge29    volkswagen30     chevrolet31          ford32         mazda33         volvo34    volkswagen35       peugeot36       renault37          ford38        datsun39        toyota40         dodge41        toyota42           amc43      plymouth44    volkswagen45           amc46        toyota47     chevrolet48        datsun49         mazda50          ford51       mercury52          fiat53          fiat54          opel55          audi56         volvo57          saab58        toyota59          ford60           amc61        datsun62          ford63        toyota64     chevrolet65          audi66    volkswagen67          opel68        toyota69        datsun70         dodge71          fiat72          fiat73         honda74        subaru75          fiat76        toyota77          ford78           amc79       pontiac80        toyota81    volkswagen82        datsun83    volkswagen84          audi85       peugeot86         volvo87          saab88         honda89          fiat90          opel91         capri92         dodge93       renault94     chevrolet95     chevrolet96    volkswagen97         honda98    volkswagen99        datsun100       toyota101         ford102       toyota103        honda104        buick105      renault106     plymouth107       datsun108   volkswagen109      pontiac110       toyota111         ford112    chevrolet113        dodge114       subaru115   volkswagen116       datsun117          bmw118        mazda119   volkswagen120         ford121        mazda122       datsun123        honda124         ford125         ford126    chevrolet127       toyota128       datsun129        dodge130       toyota131     plymouth132   oldsmobile133       datsun134         audi135         saab136   volkswagen137        honda138         ford139   volkswagen140        mazda141        dodge142          amc143     plymouth144     plymouth145       datsun146         fiat147        buick148    chevrolet149   oldsmobile150      pontiac151   volkswagen152       toyota153    chevrolet154       datsun155    chevrolet156         ford157         audi158       toyota159        mazda160       datsun161       toyota162        mazda163        dodge164       datsun165   volkswagen166   volkswagen167         audi168        honda169      renault170       subaru171   volkswagen172       datsun173        mazda174      triumph175         ford176        honda177     plymouth178        buick179        dodge180    chevrolet181     plymouth182       toyota183     plymouth184        honda185       subaru186       datsun187       toyota188        mazda189     plymouth190         ford191         ford192   volkswagen193      renault194        honda195       toyota196       datsun197        mazda198         saab199       toyota200       datsun201    chevrolet202    chevrolet203    chevrolet204      pontiac205        dodge206      pontiac207         ford208   volkswagen209        mazda210        mazda211     plymouth212      mercury213       nissan214        honda215       toyota216        honda217        honda218       datsun219        buick220     chrysler221         ford222       toyota223        dodge224    chevrolet225         ford226   volkswagen227        dodge228         ford229    chevrolet,   ModelName<>  NumCars<>0          amc          91         audi          72          bmw          23        buick          44        capri          15    chevrolet         186     chrysler          17       datsun         238        dodge         129         fiat          810        ford         2211       honda         1312       mazda         1213     mercury          314      nissan          115  oldsmobile          216        opel          417     peugeot          318    plymouth         1219     pontiac          520     renault          521        saab          522      subaru          423      toyota         2624     triumph          125  volkswagen         2226       volvo          3,230,27
car_1,What is the model for the car with a weight smaller than the average?,           Model0         toyota1       plymouth2            amc3           ford4         datsun5     volkswagen6        peugeot7           audi8           saab9            bmw10           amc11        datsun12     chevrolet13        toyota14          ford15    volkswagen16           amc17           amc18     chevrolet19       mercury20          opel21       peugeot22          fiat23        toyota24        datsun25    volkswagen26      plymouth27        toyota28         dodge29    volkswagen30     chevrolet31          ford32         mazda33         volvo34    volkswagen35       peugeot36       renault37          ford38        datsun39        toyota40         dodge41        toyota42           amc43      plymouth44    volkswagen45           amc46        toyota47     chevrolet48        datsun49         mazda50          ford51       mercury52          fiat53          fiat54          opel55          audi56         volvo57          saab58        toyota59          ford60           amc61        datsun62          ford63        toyota64     chevrolet65          audi66    volkswagen67          opel68        toyota69        datsun70         dodge71          fiat72          fiat73         honda74        subaru75          fiat76        toyota77          ford78           amc79       pontiac80        toyota81    volkswagen82        datsun83    volkswagen84          audi85       peugeot86         volvo87          saab88         honda89          fiat90          opel91         capri92         dodge93       renault94     chevrolet95     chevrolet96    volkswagen97         honda98    volkswagen99        datsun100       toyota101         ford102       toyota103        honda104        buick105      renault106     plymouth107       datsun108   volkswagen109      pontiac110       toyota111         ford112    chevrolet113        dodge114       subaru115   volkswagen116       datsun117          bmw118        mazda119   volkswagen120         ford121        mazda122       datsun123        honda124         ford125         ford126    chevrolet127       toyota128       datsun129        dodge130       toyota131     plymouth132   oldsmobile133       datsun134         audi135         saab136   volkswagen137        honda138         ford139   volkswagen140        mazda141        dodge142          amc143     plymouth144     plymouth145       datsun146         fiat147        buick148    chevrolet149   oldsmobile150      pontiac151   volkswagen152       toyota153    chevrolet154       datsun155    chevrolet156         ford157         audi158       toyota159        mazda160       datsun161       toyota162        mazda163        dodge164       datsun165   volkswagen166   volkswagen167         audi168        honda169      renault170       subaru171   volkswagen172       datsun173        mazda174      triumph175         ford176        honda177     plymouth178        buick179        dodge180    chevrolet181     plymouth182       toyota183     plymouth184        honda185       subaru186       datsun187       toyota188        mazda189     plymouth190         ford191         ford192   volkswagen193      renault194        honda195       toyota196       datsun197        mazda198         saab199       toyota200       datsun201    chevrolet202    chevrolet203    chevrolet204      pontiac205        dodge206      pontiac207         ford208   volkswagen209        mazda210        mazda211     plymouth212      mercury213       nissan214        honda215       toyota216        honda217        honda218       datsun219        buick220     chrysler221         ford222       toyota223        dodge224    chevrolet225         ford226   volkswagen227        dodge228         ford229    chevrolet,   ModelName<>  NumModels<>0          amc            11         audi            12          bmw            13        buick            14        capri            15    chevrolet            16     chrysler            17       datsun            18        dodge            19         fiat            110        ford            111       honda            112       mazda            113     mercury            114      nissan            115  oldsmobile            116        opel            117     peugeot            118    plymouth            119     pontiac            120     renault            121        saab            122      subaru            123      toyota            124     triumph            125  volkswagen            126       volvo            1,230,27
car_1,What is the maker of the carr produced in the earliest year and what year was it?,                                Make  Year0          chevrolet chevelle malibu  19701                  buick skylark 320  19702                 plymouth satellite  19703                      amc rebel sst  19704                        ford torino  19705                   ford galaxie 500  19706                   chevrolet impala  19707                  plymouth fury iii  19708                   pontiac catalina  19709                 amc ambassador dpl  197010              citroen ds-21 pallas  197011  chevrolet chevelle concours (sw)  197012                  ford torino (sw)  197013           plymouth satellite (sw)  197014                amc rebel sst (sw)  197015               dodge challenger se  197016                 plymouth cuda 340  197017             ford mustang boss 302  197018             chevrolet monte carlo  197019           buick estate wagon (sw)  197020             toyota corona mark ii  197021                   plymouth duster  197022                        amc hornet  197023                     ford maverick  197024                      datsun pl510  197025      volkswagen 1131 deluxe sedan  197026                       peugeot 504  197027                       audi 100 ls  197028                          saab 99e  197029                          bmw 2002  197030                       amc gremlin  197031                         ford f250  197032                         chevy c20  197033                        dodge d200  197034                          hi 1200d  1970,          MakerFullName<>  Year<>  NumCars<>0  American Motor Company    1970          5,35,1
car_1,Which distinct car models are the produced after 1980?,         Model0     plymouth1        buick2        dodge3    chevrolet4       toyota5        honda6       subaru7       datsun8        mazda9         ford10  volkswagen11     renault12     peugeot13        saab14       volvo15  oldsmobile16    chrysler17     pontiac18         amc19     mercury20      nissan,   ModelName<>  NumCars<>0          amc          11        buick          32    chevrolet          63     chrysler          24       datsun          45        dodge          46         ford          77        honda          58        mazda          49      mercury          110      nissan          111  oldsmobile          212     peugeot          113    plymouth          514     pontiac          215     renault          116        saab          117      subaru          118      toyota          619  volkswagen          320       volvo          1,21,21
car_1,What are the different models for the cards produced after 1980?,         Model0     plymouth1        buick2        dodge3    chevrolet4       toyota5        honda6       subaru7       datsun8        mazda9         ford10  volkswagen11     renault12     peugeot13        saab14       volvo15  oldsmobile16    chrysler17     pontiac18         amc19     mercury20      nissan,   ModelName<>  NumCars<>0          amc          11        buick          32    chevrolet          63     chrysler          24       datsun          45        dodge          46         ford          77        honda          58        mazda          49      mercury          110      nissan          111  oldsmobile          212     peugeot          113    plymouth          514     pontiac          215     renault          116        saab          117      subaru          118      toyota          619  volkswagen          320       volvo          1,21,21
car_1,How many car makers are there in each continents? List the continent name and the count.,  Continent  count(*)0   america         41      asia         72    europe        11,  ContinentName<>  NumMakers<>0         america            41            asia            52          europe           11,3,3
car_1,What is the name of each continent and how many car makers are there in each one?,  Continent  count(*)0   america         41      asia         72    europe        11,  ContinentName<>  NumMakers<>0         america            41            asia            52          europe           11,3,3
car_1,Which of the countries has the most car makers? List the country name.,  CountryName0       japan,  CountryName<>  NumMakers<>0        france            31       germany            42         italy            13         japan            54        sweden            25            uk            16           usa            4,1,7
car_1,What is the name of the country with the most car makers?,  CountryName0       japan,  CountryName<>  NumMakers<>0        france            3,1,1
car_1,How many car models are produced by each maker ? Only list the count and the maker full name .,    count(*)                FullName0          1  American Motor Company1          2              Volkswagen2          1                     BMW3          5          General Motors4          3      Ford Motor Company5          4                Chrysler6          1                 Citroen7          2           Nissan Motors8          1                    Fiat9          1                   Honda10         1                   Mazda11         2            Daimler Benz12         1                    Opel13         1                Peugeaut14         1                 Renault15         1                    Saab16         1                  Subaru17         2                  Toyota18         1                 Triumph19         1                   Volvo20         1              Kia Motors21         1                 Hyundai,           MakerFullName<>  NumModels<>0   American Motor Company            11                      BMW            12                 Chrysler            33                  Citroen            14             Daimler Benz            25                     Fiat            16       Ford Motor Company            37           General Motors            58                    Honda            19                    Mazda            110           Nissan Motors            211                    Opel            112                Peugeaut            113                 Renault            114                    Saab            115                  Subaru            116                  Toyota            117                 Triumph            118              Volkswagen            219                   Volvo            1,22,20
car_1,What is the number of car models that are produced by each maker and what is the id and full name of each maker?,    Count(*)                FullName  Id0          1  American Motor Company   11          2              Volkswagen   22          1                     BMW   33          5          General Motors   44          3      Ford Motor Company   55          4                Chrysler   66          1                 Citroen   77          2           Nissan Motors   88          1                    Fiat   99          1                   Honda  1110         1                   Mazda  1211         2            Daimler Benz  1312         1                    Opel  1413         1                Peugeaut  1514         1                 Renault  1615         1                    Saab  1716         1                  Subaru  1817         2                  Toyota  1918         1                 Triumph  2019         1                   Volvo  2120         1              Kia Motors  2221         1                 Hyundai  23,    MakerId<>         MakerFullName<>  NumModels<>0           1  American Motor Company            11           2              Volkswagen            22           3                     BMW            13           4          General Motors            54           5      Ford Motor Company            35           6                Chrysler            36           7                 Citroen            17           8           Nissan Motors            28           9                    Fiat            19          11                   Honda            110         12                   Mazda            111         13            Daimler Benz            212         14                    Opel            113         15                Peugeaut            114         16                 Renault            115         17                    Saab            116         18                  Subaru            117         19                  Toyota            118         20                 Triumph            119         21                   Volvo            1,22,20
car_1,What are all the makers and models?,    Maker          Model0       1            amc1       2           audi2       3            bmw3       4          buick4       4       cadillac5       5          capri6       4      chevrolet7       6       chrysler8       7        citroen9       8         datsun10      6          dodge11      9           fiat12      5           ford13     10             hi14     11          honda15     12          mazda16     13       mercedes17     13  mercedes-benz18      5        mercury19      8         nissan20      4     oldsmobile21     14           opel22     15        peugeot23      6       plymouth24      4        pontiac25     16        renault26     17           saab27     18         subaru28     19         toyota29     20        triumph30      2     volkswagen31     21          volvo32     22            kia33     23        hyundai34      6           jeep35     19          scion,           MakerFullName<>    ModelName<>  NumCars<>0   American Motor Company            amc         291                      BMW            bmw          22                 Chrysler       chrysler          63                 Chrysler          dodge         284                 Chrysler       plymouth         325                  Citroen        citroen          16             Daimler Benz       mercedes          17             Daimler Benz  mercedes-benz          28                     Fiat           fiat          89       Ford Motor Company          capri          110      Ford Motor Company           ford         5311      Ford Motor Company        mercury         1112          General Motors          buick         1713          General Motors       cadillac          214          General Motors      chevrolet         4815          General Motors     oldsmobile         1016          General Motors        pontiac         1617                   Honda          honda         1318                   Mazda          mazda         1219           Nissan Motors         datsun         2320           Nissan Motors         nissan          121                    Opel           opel          422                Peugeaut        peugeot          823                 Renault        renault          524                    Saab           saab          525                  Subaru         subaru          426                  Toyota         toyota         2627                 Triumph        triumph          128              Volkswagen           audi          729              Volkswagen     volkswagen         2230                   Volvo          volvo          6,36,31
car_1,What are the makers and models?,    Maker          Model0       1            amc1       2           audi2       3            bmw3       4          buick4       4       cadillac5       5          capri6       4      chevrolet7       6       chrysler8       7        citroen9       8         datsun10      6          dodge11      9           fiat12      5           ford13     10             hi14     11          honda15     12          mazda16     13       mercedes17     13  mercedes-benz18      5        mercury19      8         nissan20      4     oldsmobile21     14           opel22     15        peugeot23      6       plymouth24      4        pontiac25     16        renault26     17           saab27     18         subaru28     19         toyota29     20        triumph30      2     volkswagen31     21          volvo32     22            kia33     23        hyundai34      6           jeep35     19          scion,           MakerFullName<>    ModelName<>  NumCars<>0   American Motor Company            amc         291                      BMW            bmw          22                 Chrysler       chrysler          63                 Chrysler          dodge         284                 Chrysler       plymouth         325                  Citroen        citroen          16             Daimler Benz       mercedes          17             Daimler Benz  mercedes-benz          28                     Fiat           fiat          89       Ford Motor Company          capri          110      Ford Motor Company           ford         5311      Ford Motor Company        mercury         1112          General Motors          buick         1713          General Motors       cadillac          214          General Motors      chevrolet         4815          General Motors     oldsmobile         1016          General Motors        pontiac         1617                   Honda          honda         1318                   Mazda          mazda         1219           Nissan Motors         datsun         2320           Nissan Motors         nissan          121                    Opel           opel          422                Peugeaut        peugeot          823                 Renault        renault          524                    Saab           saab          525                  Subaru         subaru          426                  Toyota         toyota         2627                 Triumph        triumph          128              Volkswagen           audi          729              Volkswagen     volkswagen         2230                   Volvo          volvo          6,36,31
car_1,What are the countries having at least one car maker? List name and id.,  CountryName  CountryId0         usa          11     germany          22      france          33       japan          44       italy          55      sweden          66          uk          77       korea          8,  CountryName<> CountryId<>  NumMakers<>0        france           3            31       germany           2            42         italy           5            13         japan           4            54        sweden           6            25            uk           7            16           usa           1            4,8,7
car_1,What are the names and ids of all countries with at least one car maker?,  CountryName  CountryId0         usa          11     germany          22      france          33       japan          44       italy          55      sweden          66          uk          77       korea          8,  CountryName<> CountryId<>  NumMakers<>0        france           3            31       germany           2            42         italy           5            13         japan           4            54        sweden           6            25            uk           7            16           usa           1            4,8,7
car_1,What is the average weight of cars each year?,    avg(Weight)  Year0   3441.314286  19701   2960.344828  19712   3237.714286  19723   3419.025000  19734   2877.925926  19745   3176.800000  19756   3078.735294  19767   2997.357143  19778   2861.805556  19789   3055.344828  197910  2436.655172  198011  2532.166667  198112  2453.548387  1982,    Year<>  AvgWeight<>0     1970  3403.3529411     1971  2960.3448282     1972  3237.7142863     1973  3419.0250004     1974  2877.9259265     1975  3176.8000006     1976  3078.7352947     1977  2997.3571438     1978  2861.8055569     1979  3055.34482810    1980  2457.78571411    1981  2532.16666712    1982  2453.548387,13,13
car_1,What is the average weight and year for each year?,    avg(Weight)  Year0   3441.314286  19701   2960.344828  19712   3237.714286  19723   3419.025000  19734   2877.925926  19745   3176.800000  19756   3078.735294  19767   2997.357143  19778   2861.805556  19789   3055.344828  197910  2436.655172  198011  2532.166667  198112  2453.548387  1982,    Year<>  AvgWeight<>  MinYear<>  MaxYear<>0     1970  3403.352941       1970       19701     1971  2960.344828       1971       19712     1972  3237.714286       1972       19723     1973  3419.025000       1973       19734     1974  2877.925926       1974       19745     1975  3176.800000       1975       19756     1976  3078.735294       1976       19767     1977  2997.357143       1977       19778     1978  2861.805556       1978       19789     1979  3055.344828       1979       197910    1980  2457.785714       1980       198011    1981  2532.166667       1981       198112    1982  2453.548387       1982       1982,13,13
car_1,What is the maximum accelerate for different number of cylinders?,   max(Accelerate)  Cylinders0             13.5          31             24.8          42             20.1          53             21.0          64             22.2          8,   Cylinders<>  MaxAccelerate<>0            3             13.51            4             24.82            5             20.13            6             21.04            8             22.2,5,5
car_1,What is the maximum accelerate for all the different cylinders?,   max(Accelerate)  Cylinders0             13.5          31             24.8          42             20.1          53             21.0          64             22.2          8,   Cylinders<>  MaxAccelerate<>0            3             13.51            4             24.82            5             20.13            6             21.04            8             22.2,5,5
