db_name,Question,Error
concert_singer,What are the names of all stadiums that did not have a concert in 2014?,"Type is needed, but not determined for [1m[][0m. Please give hints with ~ operator!"
concert_singer,List all singer names in concerts in year 2014.,"Execution failed on sql 'WITH t_0_ConsolidatingFactTable AS (SELECT
  COUNT(DISTINCT singer_in_concert.concert_id) AS numconcerts_152180,
  singer.name AS singername_437125
FROM
  singer_in_concert, singer, concert, stadium
WHERE
  (list_contains(['2014']::text[], CAST(concert.year AS INT64))) AND
  (singer.singer_id = CAST(singer_in_concert.singer_id AS INT64)) AND
  (concert.concert_id = singer_in_concert.concert_id) AND
  (stadium.stadium_id = CAST(concert.stadium_id AS INT64))
GROUP BY singer.name)
SELECT
  ConsolidatingFactTable.singername_437125 AS ""SingerName<>"",
  ConsolidatingFactTable.numconcerts_152180 AS ""NumConcerts<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
concert_singer,What are the names of the singers who performed in a concert in 2014?,"Execution failed on sql 'WITH t_0_ConsolidatingFactTable AS (SELECT
  COUNT(DISTINCT CAST(singer_in_concert.singer_id AS INT64)) AS numsingers_90639,
  singer.name AS singername_437125
FROM
  singer_in_concert, singer, concert, stadium
WHERE
  (list_contains(['2014']::text[], CAST(concert.year AS INT64))) AND
  (singer.singer_id = CAST(singer_in_concert.singer_id AS INT64)) AND
  (concert.concert_id = singer_in_concert.concert_id) AND
  (stadium.stadium_id = CAST(concert.stadium_id AS INT64))
GROUP BY singer.name)
SELECT
  ConsolidatingFactTable.singername_437125 AS ""SingerName<>"",
  ConsolidatingFactTable.numsingers_90639 AS ""NumSingers<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
concert_singer,what is the name and nation of the singer who have a song having 'Hey' in its name?,"Execution failed on sql 'WITH t_0_ConsolidatingFactTable AS (SELECT
  COUNT(DISTINCT CAST(singer_in_concert.singer_id AS INT64)) AS numsingers_90639,
  singer.name AS singername_437125,
  singer.country AS singercountry_447921
FROM
  singer_in_concert, singer, concert, stadium, Contains
WHERE
  (Contains.col0 = singer.song_name) AND
  ('Hey' = Contains.col1) AND
  (singer.singer_id = CAST(singer_in_concert.singer_id AS INT64)) AND
  (concert.concert_id = singer_in_concert.concert_id) AND
  (stadium.stadium_id = CAST(concert.stadium_id AS INT64))
GROUP BY singer.name, singer.country)
SELECT
  ConsolidatingFactTable.singername_437125 AS ""SingerName<>"",
  ConsolidatingFactTable.singercountry_447921 AS ""SingerCountry<>"",
  ConsolidatingFactTable.numsingers_90639 AS ""NumSingers<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': no such table: Contains"
concert_singer,What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,"Execution failed on sql 'WITH t_0_ConsolidatingFactTable AS (SELECT
  COUNT(DISTINCT CAST(singer_in_concert.singer_id AS INT64)) AS numsingers_90639,
  singer.name AS singername_437125,
  singer.country AS singercountry_447921
FROM
  singer_in_concert, singer, concert, stadium, Contains
WHERE
  (Contains.col0 = singer.song_name) AND
  ('Hey' = Contains.col1) AND
  (singer.singer_id = CAST(singer_in_concert.singer_id AS INT64)) AND
  (concert.concert_id = singer_in_concert.concert_id) AND
  (stadium.stadium_id = CAST(concert.stadium_id AS INT64))
GROUP BY singer.name, singer.country)
SELECT
  ConsolidatingFactTable.singername_437125 AS ""SingerName<>"",
  ConsolidatingFactTable.singercountry_447921 AS ""SingerCountry<>"",
  ConsolidatingFactTable.numsingers_90639 AS ""NumSingers<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': no such table: Contains"
concert_singer,Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,"Execution failed on sql 'WITH t_0_ConsolidatingFactTable AS (SELECT
  COUNT(DISTINCT singer_in_concert.concert_id) AS numconcerts_152180,
  stadium.name AS stadiumname_493588,
  stadium.location AS stadiumlocation_342369
FROM
  singer_in_concert, singer, concert, stadium
WHERE
  (list_contains(['2014', '2015']::text[], CAST(concert.year AS INT64))) AND
  (singer.singer_id = CAST(singer_in_concert.singer_id AS INT64)) AND
  (concert.concert_id = singer_in_concert.concert_id) AND
  (stadium.stadium_id = CAST(concert.stadium_id AS INT64))
GROUP BY stadium.name, stadium.location)
SELECT
  ConsolidatingFactTable.stadiumname_493588 AS ""StadiumName<>"",
  ConsolidatingFactTable.stadiumlocation_342369 AS ""StadiumLocation<>"",
  ConsolidatingFactTable.numconcerts_152180 AS ""NumConcerts<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
concert_singer,What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,"Execution failed on sql 'WITH t_0_ConsolidatingFactTable AS (SELECT
  COUNT(DISTINCT singer_in_concert.concert_id) AS numconcerts_152180,
  stadium.name AS stadiumname_493588,
  stadium.location AS stadiumlocation_342369
FROM
  singer_in_concert, singer, concert, stadium
WHERE
  (list_contains(['2014', '2015']::text[], CAST(concert.year AS INT64))) AND
  (singer.singer_id = CAST(singer_in_concert.singer_id AS INT64)) AND
  (concert.concert_id = singer_in_concert.concert_id) AND
  (stadium.stadium_id = CAST(concert.stadium_id AS INT64))
GROUP BY stadium.name, stadium.location)
SELECT
  ConsolidatingFactTable.stadiumname_493588 AS ""StadiumName<>"",
  ConsolidatingFactTable.stadiumlocation_342369 AS ""StadiumLocation<>"",
  ConsolidatingFactTable.numconcerts_152180 AS ""NumConcerts<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
concert_singer,Find the number of concerts happened in the stadium with the highest capacity .,"Execution failed on sql 'WITH t_0_ConsolidatingFactTable AS (SELECT
  COUNT(DISTINCT singer_in_concert.concert_id) AS numconcerts_152180,
  stadium.name AS stadiumname_493588
FROM
  singer_in_concert, singer, concert, stadium
WHERE
  (list_contains([100000]::numeric[], stadium.capacity)) AND
  (singer.singer_id = CAST(singer_in_concert.singer_id AS INT64)) AND
  (concert.concert_id = singer_in_concert.concert_id) AND
  (stadium.stadium_id = CAST(concert.stadium_id AS INT64))
GROUP BY stadium.name)
SELECT
  ConsolidatingFactTable.stadiumname_493588 AS ""StadiumName<>"",
  ConsolidatingFactTable.numconcerts_152180 AS ""NumConcerts<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
concert_singer,What are the number of concerts that occurred in the stadium with the largest capacity ?,Could not parse expression of a value.
car_1,Which model of the car has the minimum horsepower?,Found no way to assign variables: [1mhp_text[0m.
car_1,What is the model of the car with the smallest amount of horsepower?,'ModelName'
car_1,Find the name of the makers that produced some cars in the year of 1970?,"Execution failed on sql 'WITH t_1_FactTableT AS (SELECT
  cars_data.id AS car_id,
  cars_data.mpg AS mpg_str,
  cars_data.cylinders AS cylinders,
  cars_data.edispl AS edispl,
  cars_data.horsepower AS horsepower_str,
  cars_data.weight AS weight,
  cars_data.accelerate AS accelerate,
  cars_data.year AS year,
  car_names.make AS make_name,
  car_names.model AS model_name,
  model_list.modelid AS model_id,
  model_list.maker AS maker_id,
  car_makers.maker AS maker_short_name,
  car_makers.fullname AS maker_full_name,
  car_makers.country AS country_id,
  countries.countryname AS country_name,
  countries.continent AS continent_id,
  continents.continent AS continent_name
FROM
  cars_data, car_names, model_list, car_makers, countries, continents
WHERE
  (car_names.makeid = cars_data.id) AND
  (model_list.model = car_names.model) AND
  (car_makers.id = model_list.maker) AND
  (countries.countryid = car_makers.country) AND
  (continents.contid = countries.continent)),
t_0_ConsolidatingFactTable AS (SELECT
  SUM(1) AS numcars_474452,
  FactTableT.maker_full_name AS makerfullname_387924
FROM
  t_1_FactTableT AS FactTableT
WHERE
  (list_contains([1970]::numeric[], FactTableT.year))
GROUP BY FactTableT.maker_full_name)
SELECT
  ConsolidatingFactTable.makerfullname_387924 AS ""MakerFullName<>"",
  ConsolidatingFactTable.numcars_474452 AS ""NumCars<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
car_1,What is the name of the different car makers who produced a car in 1970?,"Execution failed on sql 'WITH t_1_FactTableT AS (SELECT
  cars_data.id AS car_id,
  cars_data.mpg AS mpg_str,
  cars_data.cylinders AS cylinders,
  cars_data.edispl AS edispl,
  cars_data.horsepower AS horsepower_str,
  cars_data.weight AS weight,
  cars_data.accelerate AS accelerate,
  cars_data.year AS year,
  car_names.make AS make_name,
  car_names.model AS model_name,
  model_list.modelid AS model_id,
  model_list.maker AS maker_id,
  car_makers.maker AS maker_short_name,
  car_makers.fullname AS maker_full_name,
  car_makers.country AS country_id,
  countries.countryname AS country_name,
  countries.continent AS continent_id,
  continents.continent AS continent_name
FROM
  cars_data, car_names, model_list, car_makers, countries, continents
WHERE
  (car_names.makeid = cars_data.id) AND
  (model_list.model = car_names.model) AND
  (car_makers.id = model_list.maker) AND
  (countries.countryid = car_makers.country) AND
  (continents.contid = countries.continent)),
t_0_ConsolidatingFactTable AS (SELECT
  SUM(1) AS numcars_474452,
  FactTableT.maker_full_name AS makerfullname_387924
FROM
  t_1_FactTableT AS FactTableT
WHERE
  (list_contains([1970]::numeric[], FactTableT.year))
GROUP BY FactTableT.maker_full_name)
SELECT
  ConsolidatingFactTable.makerfullname_387924 AS ""MakerFullName<>"",
  ConsolidatingFactTable.numcars_474452 AS ""NumCars<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
car_1,Find the make and production time of the cars that were produced in the earliest year?,Could not parse expression of a value.
car_1,What is the accelerate of the car make amc hornet sportabout (sw)?,"Execution failed on sql 'WITH t_2_FactTableT AS (SELECT
  cars_data.id AS car_id,
  cars_data.mpg AS mpg_str,
  cars_data.cylinders AS cylinders,
  cars_data.edispl AS edispl,
  cars_data.horsepower AS horsepower_str,
  cars_data.weight AS weight,
  cars_data.accelerate AS accelerate,
  cars_data.year AS year,
  car_names.make AS make_name,
  car_names.model AS model_name,
  model_list.modelid AS model_id,
  model_list.maker AS maker_id,
  car_makers.maker AS maker_short_name,
  car_makers.fullname AS maker_full_name,
  car_makers.country AS country_id,
  countries.countryname AS country_name,
  countries.continent AS continent_id,
  continents.continent AS continent_name
FROM
  cars_data, car_names, model_list, car_makers, countries, continents
WHERE
  (car_names.makeid = cars_data.id) AND
  (model_list.model = car_names.model) AND
  (car_makers.id = model_list.maker) AND
  (countries.countryid = car_makers.country) AND
  (continents.contid = countries.continent)),
t_0_ConsolidatingFactTable AS (SELECT
  AVG(FactTableT.accelerate) AS avgaccelerate_40680,
  FactTableT.make_name AS makename_968968
FROM
  t_2_FactTableT AS FactTableT
WHERE
  (list_contains(['amc hornet sportabout (sw)']::text[], FactTableT.make_name))
GROUP BY FactTableT.make_name)
SELECT
  ConsolidatingFactTable.makename_968968 AS ""MakeName<>"",
  ConsolidatingFactTable.avgaccelerate_40680 AS ""AvgAccelerate<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
car_1,How much does the car accelerate that makes amc hornet sportabout (sw)?,"Execution failed on sql 'WITH t_1_FactTableT AS (SELECT
  cars_data.id AS car_id,
  cars_data.mpg AS mpg_str,
  cars_data.cylinders AS cylinders,
  cars_data.edispl AS edispl,
  cars_data.horsepower AS horsepower_str,
  cars_data.weight AS weight,
  cars_data.accelerate AS accelerate,
  cars_data.year AS year,
  car_names.make AS make_name,
  car_names.model AS model_name,
  model_list.modelid AS model_id,
  model_list.maker AS maker_id,
  car_makers.maker AS maker_short_name,
  car_makers.fullname AS maker_full_name,
  car_makers.country AS country_id,
  countries.countryname AS country_name,
  countries.continent AS continent_id,
  continents.continent AS continent_name
FROM
  cars_data, car_names, model_list, car_makers, countries, continents
WHERE
  (car_names.makeid = cars_data.id) AND
  (model_list.model = car_names.model) AND
  (car_makers.id = model_list.maker) AND
  (countries.countryid = car_makers.country) AND
  (continents.contid = countries.continent)),
t_0_ConsolidatingFactTable AS (SELECT
  AVG(FactTableT.accelerate) AS avgaccelerate_40680
FROM
  t_1_FactTableT AS FactTableT
WHERE
  (list_contains(['AMC']::text[], FactTableT.maker_full_name)) AND
  (list_contains(['Hornet Sportabout (sw)']::text[], FactTableT.model_name)))
SELECT
  ConsolidatingFactTable.avgaccelerate_40680 AS ""AvgAccelerate<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
car_1,How many car makers are there in france?,"Execution failed on sql 'WITH t_1_FactTableT AS (SELECT
  cars_data.id AS car_id,
  cars_data.mpg AS mpg_str,
  cars_data.cylinders AS cylinders,
  cars_data.edispl AS edispl,
  cars_data.horsepower AS horsepower_str,
  cars_data.weight AS weight,
  cars_data.accelerate AS accelerate,
  cars_data.year AS year,
  car_names.make AS make_name,
  car_names.model AS model_name,
  model_list.modelid AS model_id,
  model_list.maker AS maker_id,
  car_makers.maker AS maker_short_name,
  car_makers.fullname AS maker_full_name,
  car_makers.country AS country_id,
  countries.countryname AS country_name,
  countries.continent AS continent_id,
  continents.continent AS continent_name
FROM
  cars_data, car_names, model_list, car_makers, countries, continents
WHERE
  (car_names.makeid = cars_data.id) AND
  (model_list.model = car_names.model) AND
  (car_makers.id = model_list.maker) AND
  (countries.countryid = car_makers.country) AND
  (continents.contid = countries.continent)),
t_0_ConsolidatingFactTable AS (SELECT
  COUNT(DISTINCT FactTableT.maker_id) AS nummakers_84325
FROM
  t_1_FactTableT AS FactTableT
WHERE
  (list_contains(['France']::text[], FactTableT.country_name)))
SELECT
  ConsolidatingFactTable.nummakers_84325 AS ""NumMakers<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
car_1,What is the number of makers of care in France?,"Execution failed on sql 'WITH t_1_FactTableT AS (SELECT
  cars_data.id AS car_id,
  cars_data.mpg AS mpg_str,
  cars_data.cylinders AS cylinders,
  cars_data.edispl AS edispl,
  cars_data.horsepower AS horsepower_str,
  cars_data.weight AS weight,
  cars_data.accelerate AS accelerate,
  cars_data.year AS year,
  car_names.make AS make_name,
  car_names.model AS model_name,
  model_list.modelid AS model_id,
  model_list.maker AS maker_id,
  car_makers.maker AS maker_short_name,
  car_makers.fullname AS maker_full_name,
  car_makers.country AS country_id,
  countries.countryname AS country_name,
  countries.continent AS continent_id,
  continents.continent AS continent_name
FROM
  cars_data, car_names, model_list, car_makers, countries, continents
WHERE
  (car_names.makeid = cars_data.id) AND
  (model_list.model = car_names.model) AND
  (car_makers.id = model_list.maker) AND
  (countries.countryid = car_makers.country) AND
  (continents.contid = countries.continent)),
t_0_ConsolidatingFactTable AS (SELECT
  COUNT(DISTINCT FactTableT.maker_id) AS nummakers_84325
FROM
  t_1_FactTableT AS FactTableT
WHERE
  (list_contains(['France']::text[], FactTableT.country_name)))
SELECT
  ConsolidatingFactTable.nummakers_84325 AS ""NumMakers<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
car_1,How many car models are produced in the usa?,"Execution failed on sql 'WITH t_1_FactTableT AS (SELECT
  cars_data.id AS car_id,
  cars_data.mpg AS mpg_str,
  cars_data.cylinders AS cylinders,
  cars_data.edispl AS edispl,
  cars_data.horsepower AS horsepower_str,
  cars_data.weight AS weight,
  cars_data.accelerate AS accelerate,
  cars_data.year AS year,
  car_names.make AS make_name,
  car_names.model AS model_name,
  model_list.modelid AS model_id,
  model_list.maker AS maker_id,
  car_makers.maker AS maker_short_name,
  car_makers.fullname AS maker_full_name,
  car_makers.country AS country_id,
  countries.countryname AS country_name,
  countries.continent AS continent_id,
  continents.continent AS continent_name
FROM
  cars_data, car_names, model_list, car_makers, countries, continents
WHERE
  (car_names.makeid = cars_data.id) AND
  (model_list.model = car_names.model) AND
  (car_makers.id = model_list.maker) AND
  (countries.countryid = car_makers.country) AND
  (continents.contid = countries.continent)),
t_0_ConsolidatingFactTable AS (SELECT
  COUNT(DISTINCT FactTableT.model_id) AS nummodels_765983
FROM
  t_1_FactTableT AS FactTableT
WHERE
  (list_contains(['USA']::text[], FactTableT.country_name)))
SELECT
  ConsolidatingFactTable.nummodels_765983 AS ""NumModels<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
car_1,What is the count of the car models produced in the United States?,"Execution failed on sql 'WITH t_1_FactTableT AS (SELECT
  cars_data.id AS car_id,
  cars_data.mpg AS mpg_str,
  cars_data.cylinders AS cylinders,
  cars_data.edispl AS edispl,
  cars_data.horsepower AS horsepower_str,
  cars_data.weight AS weight,
  cars_data.accelerate AS accelerate,
  cars_data.year AS year,
  car_names.make AS make_name,
  car_names.model AS model_name,
  model_list.modelid AS model_id,
  model_list.maker AS maker_id,
  car_makers.maker AS maker_short_name,
  car_makers.fullname AS maker_full_name,
  car_makers.country AS country_id,
  countries.countryname AS country_name,
  countries.continent AS continent_id,
  continents.continent AS continent_name
FROM
  cars_data, car_names, model_list, car_makers, countries, continents
WHERE
  (car_names.makeid = cars_data.id) AND
  (model_list.model = car_names.model) AND
  (car_makers.id = model_list.maker) AND
  (countries.countryid = car_makers.country) AND
  (continents.contid = countries.continent)),
t_0_ConsolidatingFactTable AS (SELECT
  COUNT(DISTINCT FactTableT.model_id) AS nummodels_765983
FROM
  t_1_FactTableT AS FactTableT
WHERE
  (list_contains(['USA']::text[], FactTableT.country_name)))
SELECT
  ConsolidatingFactTable.nummodels_765983 AS ""NumModels<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
car_1,What is the average miles per gallon(mpg) of the cars with 4 cylinders?,Found no way to assign variables: [1mmpg_text[0m.
car_1,What is the average miles per gallon of all the cards with 4 cylinders?,Found no way to assign variables: [1mmpg_text[0m.
car_1,What is the smallest weight of the car produced with 8 cylinders on 1974 ?,"Execution failed on sql 'WITH t_1_FactTableT AS (SELECT
  cars_data.id AS car_id,
  cars_data.mpg AS mpg_str,
  cars_data.cylinders AS cylinders,
  cars_data.edispl AS edispl,
  cars_data.horsepower AS horsepower_str,
  cars_data.weight AS weight,
  cars_data.accelerate AS accelerate,
  cars_data.year AS year,
  car_names.make AS make_name,
  car_names.model AS model_name,
  model_list.modelid AS model_id,
  model_list.maker AS maker_id,
  car_makers.maker AS maker_short_name,
  car_makers.fullname AS maker_full_name,
  car_makers.country AS country_id,
  countries.countryname AS country_name,
  countries.continent AS continent_id,
  continents.continent AS continent_name
FROM
  cars_data, car_names, model_list, car_makers, countries, continents
WHERE
  (car_names.makeid = cars_data.id) AND
  (model_list.model = car_names.model) AND
  (car_makers.id = model_list.maker) AND
  (countries.countryid = car_makers.country) AND
  (continents.contid = countries.continent)),
t_0_ConsolidatingFactTable AS (SELECT
  MIN(FactTableT.weight) AS minweight_888652
FROM
  t_1_FactTableT AS FactTableT
WHERE
  (list_contains([8]::numeric[], FactTableT.cylinders)) AND
  (list_contains([1974]::numeric[], FactTableT.year)))
SELECT
  ConsolidatingFactTable.minweight_888652 AS ""MinWeight<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
car_1,What is the minimum weight of the car with 8 cylinders produced in 1974 ?,"Execution failed on sql 'WITH t_1_FactTableT AS (SELECT
  cars_data.id AS car_id,
  cars_data.mpg AS mpg_str,
  cars_data.cylinders AS cylinders,
  cars_data.edispl AS edispl,
  cars_data.horsepower AS horsepower_str,
  cars_data.weight AS weight,
  cars_data.accelerate AS accelerate,
  cars_data.year AS year,
  car_names.make AS make_name,
  car_names.model AS model_name,
  model_list.modelid AS model_id,
  model_list.maker AS maker_id,
  car_makers.maker AS maker_short_name,
  car_makers.fullname AS maker_full_name,
  car_makers.country AS country_id,
  countries.countryname AS country_name,
  countries.continent AS continent_id,
  continents.continent AS continent_name
FROM
  cars_data, car_names, model_list, car_makers, countries, continents
WHERE
  (car_names.makeid = cars_data.id) AND
  (model_list.model = car_names.model) AND
  (car_makers.id = model_list.maker) AND
  (countries.countryid = car_makers.country) AND
  (continents.contid = countries.continent)),
t_0_ConsolidatingFactTable AS (SELECT
  MIN(FactTableT.weight) AS minweight_888652
FROM
  t_1_FactTableT AS FactTableT
WHERE
  (list_contains([8]::numeric[], FactTableT.cylinders)) AND
  (list_contains([1974]::numeric[], FactTableT.year)))
SELECT
  ConsolidatingFactTable.minweight_888652 AS ""MinWeight<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
car_1,What is the number of the cars with horsepower more than 150?,Found no way to assign variables: [1mhp_text[0m.
car_1,What is the number of cars with a horsepower greater than 150?,Found no way to assign variables: [1mhp_text[0m.
car_1,Which countries in europe have at least 3 car manufacturers?,Could not parse expression of a value.
car_1,What are the names of all European countries with at least 3 manufacturers?,Could not parse expression of a value.
car_1,What is the maximum horsepower and the make of the car models with 3 cylinders?,Found no way to assign variables: [1mhp_text[0m.
car_1,What is the largest amount of horsepower for the models with 3 cylinders and what make is it?,Found no way to assign variables: [1mhp_text[0m.
car_1,"Which model saves the most gasoline? That is to say, have the maximum miles per gallon.",Found no way to assign variables: [1mmpg_text[0m.
car_1,What is the car model with the highest mpg ?,Found no way to assign variables: [1mmpg_text[0m.
car_1,What is the average horsepower of the cars before 1980?,Found no way to assign variables: [1mhp_text[0m.
car_1,What is the average horsepower for all cars produced before 1980 ?,Found no way to assign variables: [1mhp_text[0m.
car_1,What is the average edispl of the cars of model volvo?,"Execution failed on sql 'WITH t_2_FactTableT AS (SELECT
  cars_data.id AS car_id,
  cars_data.mpg AS mpg_str,
  cars_data.cylinders AS cylinders,
  cars_data.edispl AS edispl,
  cars_data.horsepower AS horsepower_str,
  cars_data.weight AS weight,
  cars_data.accelerate AS accelerate,
  cars_data.year AS year,
  car_names.make AS make_name,
  car_names.model AS model_name,
  model_list.modelid AS model_id,
  model_list.maker AS maker_id,
  car_makers.maker AS maker_short_name,
  car_makers.fullname AS maker_full_name,
  car_makers.country AS country_id,
  countries.countryname AS country_name,
  countries.continent AS continent_id,
  continents.continent AS continent_name
FROM
  cars_data, car_names, model_list, car_makers, countries, continents
WHERE
  (car_names.makeid = cars_data.id) AND
  (model_list.model = car_names.model) AND
  (car_makers.id = model_list.maker) AND
  (countries.countryid = car_makers.country) AND
  (continents.contid = countries.continent)),
t_0_ConsolidatingFactTable AS (SELECT
  AVG(FactTableT.edispl) AS avgedispl_475501,
  FactTableT.model_name AS modelname_83050
FROM
  t_2_FactTableT AS FactTableT
WHERE
  (list_contains(['volvo']::text[], FactTableT.model_name))
GROUP BY FactTableT.model_name)
SELECT
  ConsolidatingFactTable.modelname_83050 AS ""ModelName<>"",
  ConsolidatingFactTable.avgedispl_475501 AS ""AvgEdispl<>""
FROM
  t_0_ConsolidatingFactTable AS ConsolidatingFactTable;': unrecognized token: "":"""
